url,title,date,tag_slugs
https://www.youtube.com/oembed?format=xml&url=https://www.youtube.com/watch?v=uWZu3rnj-kQ,Building an AI Dog Poop Detector for my Backyard,2022-01-15,"robotics,ai"
https://www.youtube.com/oembed?format=xml&url=https://www.youtube.com/watch?v=QS4fzElm8zk,WiFi Game Boy Cartridge,2021-12-27,"tinkering,video"
https://blog.upperlinecode.com/what-if-answer-keys-are-bad-computer-science-teacher/,What If Answer Keys Are Bad? - Upperline Code,2021-12-21,teaching
https://googleprojectzero.blogspot.com/2021/12/a-deep-dive-into-nso-zero-click.html,A deep dive into an NSO zero-click iMessage exploit: Remote Code Execution,2021-12-15,security
https://github.com/labmlai/annotated_deep_learning_paper_implementations,"GitHub - labmlai/annotated_deep_learning_paper_implementations: 🧑‍🏫 50! Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",2021-12-05,"ai,learning"
https://explorabl.es,Explorable Explanations,2021-11-28,"learning,teaching"
http://worrydream.com/ExplorableExplanations/,Explorable Explanations,2021-11-28,teaching
https://missing.csail.mit.edu/,The Missing Semester of Your CS Education,2021-11-26,"dev,teaching"
https://certitude.consulting/blog/en/invisible-backdoor/,The Invisible JavaScript Backdoor,2021-11-11,"security,web"
https://calpaterson.com/bank-python.html&mkt_tok=MTA3LUZNUy0wNzAAAAGA2x597x706_jpj_dfLoTer2j_lb7p7OBPqK-oS8pvtoOSr7OU6hpjs-qAaB-0rd4HE4RIsy286eNTnKU-5dHMt-myUCU2ZFTXBPleVsfRtwVNgg,An oral history of Bank Python,2021-11-04,"dev,story,python"
https://vega.github.io/vega/,A Visualization Grammar,2021-09-19,dataviz
https://codeinthehole.com/tips/vim-lists/,Vim's useful lists,2021-05-04,"cheat-sheet,vim"
https://github.com/ArchiveBox/ArchiveBox/wiki/Web-Archiving-Community,Web Archiving Community,2021-04-19,"archiving,datahoarding,homeserver"
https://wiki.archlinux.org/index.php/security#CPU,Security - ArchWiki,2021-04-18,"security,linux,homeserver"
https://blog.jupyter.org/and-voilà-f6a2c08a4a93?gi=d8af14de3c31,And voilà!,2021-01-08,"dataviz,dev,ai"
https://emnudge.dev/blog/to-semicolon-or-not-to-semicolon/,"To Semicolon, Or Not To Semicolon;",2019-08-15,"js,learning"
https://engineering.atspotify.com/2014/02/how-to-shuffle-songs/,How to shuffle songs? - Spotify Engineering,2014-02-28,"dev,story"
https://poppopret.org/2013/12/18/reverse-engineering-a-furby/#eeprom,Reverse Engineering a Furby,2013-12-18,"furby,fun,reverse-engineering"
